img,cls,xmin,xmax,ymin,ymax,class
07baf895b711927a078c12eb6deb88b0#201011270630_frame22.txt,,367,409,60,110,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame22.txt,,482,526,129,165,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame23.txt,,355,397,52,112,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame23.txt,,496,540,129,165,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame24.txt,,351,405,42,102,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame24.txt,,504,548,126,162,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame25.txt,,350,418,29,86,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame25.txt,,515,561,122,161,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame26.txt,,350,428,7,65,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame26.txt,,533,579,116,155,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame27.txt,,360,438,1,59,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame27.txt,,539,585,114,152,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame28.txt,,377,455,0,32,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame28.txt,,548,604,114,162,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame29.txt,,392,454,0,18,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame29.txt,,558,614,114,162,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame3.txt,,412,456,163,197,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame30.txt,,569,615,114,162,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame31.txt,,572,624,114,156,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame32.txt,,578,630,112,154,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame33.txt,,580,632,112,154,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame34.txt,,590,636,112,154,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame35.txt,,600,638,106,148,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame36.txt,,600,638,106,148,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame37.txt,,538,586,120,164,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame37.txt,,600,638,100,142,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame38.txt,,538,586,122,167,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame38.txt,,600,638,96,138,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame39.txt,,538,586,120,164,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame39.txt,,600,638,93,135,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame4.txt,,414,458,157,191,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame40.txt,,540,588,116,161,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame40.txt,,600,638,84,126,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame41.txt,,544,592,116,161,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame41.txt,,608,640,84,126,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame42.txt,,544,592,116,161,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame42.txt,,610,636,84,126,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame5.txt,,418,462,143,193,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame50.txt,,552,592,125,164,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame50.txt,,569,627,48,116,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame51.txt,,552,592,125,164,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame51.txt,,569,627,52,112,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame52.txt,,564,612,54,114,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame52.txt,,548,588,125,164,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame53.txt,,564,612,57,117,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame53.txt,,548,588,125,164,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame54.txt,,548,588,125,164,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame54.txt,,564,612,57,117,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame55.txt,,548,616,58,124,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame55.txt,,550,590,128,168,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame56.txt,,540,608,57,123,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame56.txt,,550,590,127,167,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame57.txt,,544,600,56,114,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame57.txt,,546,586,127,167,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame58.txt,,546,590,49,107,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame58.txt,,548,588,127,167,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame59.txt,,538,582,43,101,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame59.txt,,550,590,125,164,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame6.txt,,418,462,143,193,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame60.txt,,526,570,35,104,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame60.txt,,552,592,125,164,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame61.txt,,520,564,33,99,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame61.txt,,552,592,125,164,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame62.txt,,510,562,33,99,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame62.txt,,550,590,125,164,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame63.txt,,506,558,33,99,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame63.txt,,550,590,125,164,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame64.txt,,506,542,35,98,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame64.txt,,553,591,125,164,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame65.txt,,494,530,41,104,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame65.txt,,561,591,125,164,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame66.txt,,484,520,47,110,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame67.txt,,484,520,47,110,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame68.txt,,446,482,62,126,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame69.txt,,434,472,62,126,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame7.txt,,420,464,134,185,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame70.txt,,423,473,62,132,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame71.txt,,402,482,55,137,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame72.txt,,396,482,50,126,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame73.txt,,392,498,43,119,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame74.txt,,398,498,43,119,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame75.txt,,397,507,43,119,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame76.txt,,404,512,40,118,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame77.txt,,408,512,40,118,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame78.txt,,418,512,40,118,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame79.txt,,440,512,40,118,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame8.txt,,422,466,132,176,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame80.txt,,452,512,40,118,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame81.txt,,458,512,50,119,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame82.txt,,466,512,50,119,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame83.txt,,484,512,59,115,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame9.txt,,422,466,128,173,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame99.txt,,169,255,119,200,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame99.txt,,558,612,102,156,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame99.txt,,575,629,30,86,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame99.txt,,352,416,16,58,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame198.txt,,543,593,2,30,-5.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame198.txt,,217,251,28,52,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame198.txt,,292,316,187,221,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame199.txt,,527,577,2,30,-5.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame199.txt,,292,316,187,221,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame199.txt,,225,259,24,48,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame200.txt,,503,553,2,30,-5.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame200.txt,,292,324,186,222,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame206.txt,,259,309,4,34,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame206.txt,,302,350,178,220,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame207.txt,,308,350,178,220,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame207.txt,,458,502,98,138,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame207.txt,,272,322,3,33,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame208.txt,,458,502,107,139,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame208.txt,,274,324,3,33,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame208.txt,,311,353,177,219,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame209.txt,,284,334,6,36,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame210.txt,,294,344,10,40,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame211.txt,,458,568,312,372,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame212.txt,,470,578,313,371,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame213.txt,,392,448,113,152,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame213.txt,,470,578,313,371,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame228.txt,,303,361,181,227,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame228.txt,,6,80,102,152,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame228.txt,,400,450,53,103,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame228.txt,,325,371,7,41,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame229.txt,,326,372,7,41,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame229.txt,,412,454,61,107,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame229.txt,,306,360,180,224,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame229.txt,,8,82,98,149,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame23.txt,,150,222,123,183,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame23.txt,,318,370,172,220,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame23.txt,,279,309,182,221,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame23.txt,,208,392,-47,77,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame230.txt,,424,466,74,120,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame230.txt,,339,385,7,41,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame230.txt,,306,360,180,224,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame230.txt,,8,82,98,149,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame231.txt,,345,399,12,60,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame231.txt,,434,484,80,126,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame231.txt,,306,360,180,224,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame231.txt,,8,78,98,149,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame232.txt,,349,407,20,72,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame232.txt,,444,494,78,126,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame232.txt,,306,360,180,224,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame232.txt,,8,78,98,149,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame233.txt,,365,419,40,100,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame233.txt,,306,360,180,224,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame234.txt,,376,432,73,131,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame234.txt,,306,360,180,224,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame235.txt,,386,442,91,137,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame235.txt,,306,360,180,224,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame24.txt,,318,370,172,220,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame24.txt,,279,309,182,221,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame24.txt,,158,222,126,182,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame24.txt,,431,493,96,132,6.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame25.txt,,158,222,128,185,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame25.txt,,326,378,172,220,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame25.txt,,279,309,182,221,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame25.txt,,428,490,96,132,6.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame252.txt,,318,378,102,158,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame252.txt,,372,436,30,72,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame253.txt,,356,420,36,78,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame253.txt,,314,374,110,167,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame26.txt,,164,228,130,184,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame26.txt,,322,376,162,210,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame26.txt,,428,496,91,131,6.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame27.txt,,431,493,90,128,6.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame27.txt,,322,376,162,210,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame27.txt,,168,232,138,192,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame271.txt,,318,368,22,64,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame272.txt,,323,389,24,74,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame273.txt,,339,405,36,86,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame274.txt,,352,414,44,89,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame275.txt,,378,434,62,96,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame276.txt,,383,449,62,96,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame277.txt,,398,454,60,92,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame28.txt,,431,493,90,128,6.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame28.txt,,321,375,166,214,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame28.txt,,168,244,141,195,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame34.txt,,434,464,98,137,6.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame34.txt,,354,404,140,191,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame34.txt,,308,356,179,223,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame34.txt,,260,292,179,211,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame34.txt,,172,256,137,199,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame35.txt,,176,260,132,194,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame35.txt,,260,292,179,211,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame35.txt,,354,404,140,191,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame35.txt,,308,356,179,223,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame35.txt,,156,192,29,67,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame36.txt,,144,194,28,64,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame36.txt,,187,257,132,192,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame36.txt,,260,292,179,211,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame36.txt,,311,361,173,223,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame36.txt,,354,404,131,181,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame37.txt,,144,194,28,64,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame37.txt,,187,257,129,189,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame37.txt,,260,292,180,212,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame37.txt,,311,361,173,223,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame37.txt,,354,404,132,182,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame38.txt,,311,361,168,218,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame38.txt,,348,398,128,179,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame38.txt,,264,296,182,215,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame38.txt,,180,240,120,180,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame38.txt,,149,195,30,66,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame39.txt,,350,388,116,162,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame39.txt,,313,363,164,215,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame39.txt,,268,300,182,215,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame39.txt,,172,232,116,180,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame39.txt,,153,195,36,72,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame40.txt,,170,222,113,181,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame40.txt,,312,368,164,215,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame40.txt,,155,197,36,72,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame41.txt,,156,208,108,176,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame41.txt,,316,360,162,212,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame41.txt,,153,199,36,72,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame42.txt,,314,358,158,209,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame42.txt,,142,192,107,175,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame42.txt,,172,208,35,68,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame43.txt,,314,358,158,209,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame43.txt,,138,174,107,170,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame43.txt,,313,351,97,143,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame43.txt,,178,214,35,68,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame44.txt,,316,370,140,192,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame44.txt,,107,161,92,167,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame44.txt,,188,224,31,65,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame45.txt,,309,363,140,192,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame45.txt,,54,138,92,168,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame45.txt,,188,224,31,65,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame46.txt,,302,356,143,194,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame46.txt,,35,133,93,171,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame46.txt,,204,248,29,62,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame47.txt,,7,129,90,164,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame47.txt,,288,346,143,194,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame47.txt,,218,266,25,59,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame48.txt,,285,343,137,188,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame48.txt,,2,114,89,163,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame48.txt,,232,280,13,47,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame49.txt,,285,343,136,190,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame49.txt,,2,98,89,158,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame49.txt,,236,284,13,47,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame50.txt,,248,296,17,50,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame51.txt,,261,307,23,61,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame52.txt,,264,310,30,68,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame53.txt,,271,321,30,68,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame53.txt,,284,324,127,185,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame54.txt,,271,321,26,65,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame54.txt,,202,256,49,101,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame54.txt,,283,325,122,185,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame55.txt,,272,328,26,65,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame55.txt,,202,256,49,101,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame55.txt,,286,328,127,185,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame55.txt,,388,436,28,64,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame56.txt,,278,334,18,56,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame56.txt,,284,336,122,180,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame56.txt,,207,261,53,109,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame56.txt,,388,436,28,64,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame57.txt,,282,338,5,43,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame57.txt,,294,340,123,177,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame57.txt,,212,266,62,119,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame57.txt,,389,443,23,56,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame58.txt,,295,349,122,179,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame58.txt,,222,268,72,126,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame58.txt,,286,342,0,38,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame58.txt,,258,290,163,203,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame58.txt,,388,438,18,50,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame59.txt,,258,290,163,203,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame59.txt,,288,348,0,30,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame59.txt,,388,438,11,43,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame59.txt,,314,346,134,192,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame60.txt,,396,444,12,42,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame60.txt,,291,365,0,26,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame60.txt,,258,290,163,203,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame60.txt,,13,59,72,128,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame61.txt,,406,452,18,48,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame61.txt,,300,364,0,36,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame61.txt,,256,288,161,200,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame61.txt,,15,61,68,125,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame62.txt,,320,384,6,42,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame62.txt,,256,288,161,200,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame62.txt,,29,71,62,114,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame63.txt,,340,384,6,42,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame64.txt,,342,386,9,45,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame68.txt,,312,378,0,36,-3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame68.txt,,294,338,161,205,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame96.txt,,458,568,308,360,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame96.txt,,266,310,105,159,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame96.txt,,402,458,3,39,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame96.txt,,62,108,98,150,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame97.txt,,444,554,307,365,0.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame97.txt,,270,310,115,167,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame97.txt,,73,119,98,150,3.0
1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame97.txt,,400,456,1,35,3.0
2a69f2ad271728c99a849d679745492e#201201170710_s3_1_frame816.txt,,128,316,90,231,-4.0
2a69f2ad271728c99a849d679745492e#201201170710_s3_1_frame817.txt,,128,316,90,231,-4.0
2a69f2ad271728c99a849d679745492e#201201170710_s3_1_frame818.txt,,128,316,90,231,-4.0
2a69f2ad271728c99a849d679745492e#201201170710_s3_1_frame819.txt,,127,310,76,224,-4.0
2a69f2ad271728c99a849d679745492e#201201170710_s3_1_frame820.txt,,127,310,76,224,-4.0
